,DyS,n_t,dt,traj,mse_x,mse
0,SINDy,3,0.02,10,2.9726283665390407,1.6223914922394835
1,SINDy,3,0.02,10,0.5113627935344176,1.6223914922394835
2,SINDy,3,0.02,10,1.0920051485881035,1.6223914922394835
3,SINDy,3,0.02,10,0.09731941718703731,1.6223914922394835
4,SINDy,3,0.02,10,4.304675491322922,1.6223914922394835
5,SINDy,3,0.02,10,0.13443941186755545,1.6223914922394835
6,SINDy,3,0.02,10,4.123379476256618,1.6223914922394835
7,SINDy,3,0.02,10,0.21418674006956717,1.6223914922394835
8,SINDy,3,0.02,10,2.256800762157691,1.6223914922394835
9,SINDy,3,0.02,10,0.5171173148718461,1.6223914922394835
